accepted,alpha,attempt,candidate_sha256,carrier_a_index,carrier_a_source,carrier_b_index,carrier_b_source,class_identity_passed,class_identity_prediction,class_name,diversity_minimum,diversity_passed,failure_reasons,hard_gates_passed,method,nearest_train_distance,path,target_per_class,verifier_gates
True,,0,e3dfeed0ef01b7b1a740314c21fc42a7b46e2edefe4178d8cf3936a3908dca6a,236,1_2,,,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_a_directional,7.849523659225101,candidates/s_a_directional/n5/normal_machining/attempt_000.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,,1,42aad56e68dd23fab11dc4383fe5e5cef274e9ae258b80406eb71d1ef1569405,385,1_4,,,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_a_directional,8.757551191634084,candidates/s_a_directional/n5/normal_machining/attempt_001.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,,2,1fa09c6c6623f872106bd992dbbef8e56bff5ba4bcfc738201d197bb42273cc7,470,1_4,,,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_a_directional,7.288800681989718,candidates/s_a_directional/n5/normal_machining/attempt_002.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,,3,1e6316f6c9b97889c30350202e2a924b3aad51fb5f76ed76543b3cafc2e6b61b,528,1_5,,,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_a_directional,7.5753210984459125,candidates/s_a_directional/n5/normal_machining/attempt_003.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,,4,59d2f57d16150c40b2f53ed893b48de1701f953be97bc22fc655d8aae01f0b14,465,1_4,,,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_a_directional,7.658688529503935,candidates/s_a_directional/n5/normal_machining/attempt_004.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,,0,77602accde6628aacab507e457dea0371dd802989c5c83258dca353c70e2adfd,8,2_1,,,True,lead_screw_anomaly,lead_screw_anomaly,2.4236589111645213,True,,True,s_a_directional,4.286030566822956,candidates/s_a_directional/n5/lead_screw_anomaly/attempt_000.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
False,,1,0db789546591a33dd9ed8cf993761894b400494ba0b02f162ab9aec2b3020832,24,2_1,,,True,lead_screw_anomaly,lead_screw_anomaly,2.4236589111645213,True,psd_w1,False,s_a_directional,3.9141113501539833,candidates/s_a_directional/n5/lead_screw_anomaly/attempt_001.npy,5,"{""psd_w1"": false, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,,2,10993104658580032e0c08ba6d9749653eb3b188c5f4b666dca3ba4752d0d357,201,2_5,,,True,lead_screw_anomaly,lead_screw_anomaly,2.4236589111645213,True,,True,s_a_directional,4.366329344188057,candidates/s_a_directional/n5/lead_screw_anomaly/attempt_002.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,,3,cc557ef5d3174edbc85e74001185b894ab1bd14ed9a728de69be1beebef31c63,10,2_1,,,True,lead_screw_anomaly,lead_screw_anomaly,2.4236589111645213,True,,True,s_a_directional,4.408637232839585,candidates/s_a_directional/n5/lead_screw_anomaly/attempt_003.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,,4,c2df6a7b47daecee884833f0002a2d2815ff44eec72f37df433e375689259845,108,2_2,,,True,lead_screw_anomaly,lead_screw_anomaly,2.4236589111645213,True,,True,s_a_directional,4.820096572550763,candidates/s_a_directional/n5/lead_screw_anomaly/attempt_004.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,,5,11775016532a20df46e88c8a62895822495dc4e3356e1e8ca1b5b95f0bde4a17,225,2_5,,,True,lead_screw_anomaly,lead_screw_anomaly,2.4236589111645213,True,,True,s_a_directional,4.770712731326387,candidates/s_a_directional/n5/lead_screw_anomaly/attempt_005.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
