split,method,n_real,rows,expected_rows,complete,missing_seeds
within_load0,llm,5,40,40,True,[]
within_load0,llm,10,40,40,True,[]
within_load0,llm,25,40,40,True,[]
within_load0,rule,5,40,40,True,[]
within_load0,rule,10,40,40,True,[]
within_load0,rule,25,40,40,True,[]
within_load0,noise_aug,5,40,40,True,[]
within_load0,noise_aug,10,40,40,True,[]
within_load0,noise_aug,25,40,40,True,[]
within_load0,real_only,5,40,40,True,[]
within_load0,real_only,10,40,40,True,[]
within_load0,real_only,25,40,40,True,[]
lolo_load0,llm,5,40,40,True,[]
lolo_load0,llm,10,40,40,True,[]
lolo_load0,llm,25,40,40,True,[]
lolo_load0,rule,5,40,40,True,[]
lolo_load0,rule,10,40,40,True,[]
lolo_load0,rule,25,40,40,True,[]
lolo_load0,noise_aug,5,40,40,True,[]
lolo_load0,noise_aug,10,40,40,True,[]
lolo_load0,noise_aug,25,40,40,True,[]
lolo_load0,real_only,5,40,40,True,[]
lolo_load0,real_only,10,40,40,True,[]
lolo_load0,real_only,25,40,40,True,[]
lolo_load1,llm,5,40,40,True,[]
lolo_load1,llm,10,40,40,True,[]
lolo_load1,llm,25,40,40,True,[]
lolo_load1,rule,5,40,40,True,[]
lolo_load1,rule,10,40,40,True,[]
lolo_load1,rule,25,40,40,True,[]
lolo_load1,noise_aug,5,40,40,True,[]
lolo_load1,noise_aug,10,40,40,True,[]
lolo_load1,noise_aug,25,40,40,True,[]
lolo_load1,real_only,5,40,40,True,[]
lolo_load1,real_only,10,40,40,True,[]
lolo_load1,real_only,25,40,40,True,[]
lolo_load2,llm,5,40,40,True,[]
lolo_load2,llm,10,40,40,True,[]
lolo_load2,llm,25,40,40,True,[]
lolo_load2,rule,5,40,40,True,[]
lolo_load2,rule,10,40,40,True,[]
lolo_load2,rule,25,40,40,True,[]
lolo_load2,noise_aug,5,40,40,True,[]
lolo_load2,noise_aug,10,40,40,True,[]
lolo_load2,noise_aug,25,40,40,True,[]
lolo_load2,real_only,5,40,40,True,[]
lolo_load2,real_only,10,40,40,True,[]
lolo_load2,real_only,25,40,40,True,[]
lolo_load3,llm,5,40,40,True,[]
lolo_load3,llm,10,40,40,True,[]
lolo_load3,llm,25,40,40,True,[]
lolo_load3,rule,5,40,40,True,[]
lolo_load3,rule,10,40,40,True,[]
lolo_load3,rule,25,40,40,True,[]
lolo_load3,noise_aug,5,40,40,True,[]
lolo_load3,noise_aug,10,40,40,True,[]
lolo_load3,noise_aug,25,40,40,True,[]
lolo_load3,real_only,5,40,40,True,[]
lolo_load3,real_only,10,40,40,True,[]
lolo_load3,real_only,25,40,40,True,[]
